b0,b1,b2,b3,z.sd,phi.ROS,z
2.95615,-0.702394,0.695941,0.223331,0.971513,10.784,1.4516118
2.98668,-0.646969,0.639651,0.258771,0.856276,6.69976,-0.473472497
3.00683,-0.672325,0.629177,0.142441,0.85979,6.30741,1.795363399
2.99433,-0.616685,0.758784,0.130697,0.930701,10.4937,0.620361051
3.04134,-0.680439,0.798081,0.239882,0.942888,8.60386,0.926999485
2.99489,-0.714947,0.715988,0.262508,0.812487,9.6982,-1.172957164
2.88716,-0.802026,0.740647,0.256326,0.769899,9.6627,0.637801267
2.91341,-0.754669,0.604505,0.369609,0.962029,11.9354,-0.9201972
2.82487,-0.754021,0.544002,0.343981,0.966703,7.08204,1.337041015
2.77485,-0.674594,0.550432,0.315256,0.9646,11.4329,-1.640810358
2.92683,-0.704312,0.728196,0.293814,0.931229,9.37682,-0.506907973
2.84388,-0.674123,0.605471,0.400199,0.966995,8.83713,1.401027415
2.85986,-0.839171,0.675177,0.197987,0.940358,12.6567,0.918349019
2.88005,-0.86662,0.710675,0.128062,0.940884,10.0742,0.238034247
2.71153,-0.735801,0.739281,0.011429,0.833383,8.63181,-1.216831269
2.77814,-0.638437,0.749887,0.242665,0.897111,8.88855,-1.063661648
2.86024,-0.604826,0.692286,0.157555,0.905679,8.47193,-0.774179449
2.86015,-0.605724,0.856623,0.0139063,0.831153,9.07797,-0.385454162
2.78356,-0.746303,0.813104,0.0594577,1.01165,8.27416,-1.230467887
2.89117,-0.704399,0.778081,0.119415,0.968432,10.7514,-0.391993627
2.86562,-0.71428,0.892133,0.169014,0.91241,14.8821,0.285463676
2.91207,-0.757559,0.871275,0.107566,0.922774,10.2397,-0.001791165
2.82301,-0.7924,0.736194,0.181514,0.894212,7.12618,0.510877704
2.77808,-0.90842,0.588161,0.123355,0.913832,6.88832,2.484890961
2.76076,-0.950335,0.728853,0.149418,0.860331,9.70888,0.079948014
2.75546,-0.758293,0.730575,0.0268925,0.930122,8.88171,-1.970402242
2.84902,-0.798866,0.775719,0.212694,0.86835,11.8605,1.143893661
3.03237,-0.809092,0.943303,0.348095,0.966355,12.5004,1.645333252
2.99668,-0.632724,0.725395,0.380194,0.958359,12.7097,-0.679470642
2.98871,-0.510553,0.698713,0.162526,0.945342,8.41963,-0.338591939
3.02465,-0.567853,0.699076,0.247071,0.92883,9.7787,0.045958973
3.03826,-0.696482,0.657123,0.158672,1.07282,10.1327,-1.246582188
2.97957,-0.57958,0.569148,0.160627,0.979867,7.79661,0.283705243
3.00061,-0.718432,0.659906,0.143936,0.940132,8.11858,0.711870269
2.86312,-0.697946,0.592623,0.0917764,0.903539,10.7591,-0.264883989
2.81517,-0.663328,0.658734,0.165391,0.970983,9.0345,0.176715697
2.84826,-0.680113,0.680908,-0.00260391,0.930171,7.74089,-0.342581534
2.84985,-0.69695,0.52926,0.135472,0.794116,7.68188,0.318737983
2.77322,-0.571802,0.59169,0.14426,0.995289,8.59243,0.990268217
2.74186,-0.563158,0.468594,0.0588878,0.935442,7.63824,-1.028343177
2.6715,-0.788887,0.685749,0.0789382,0.866062,5.68839,-0.184664445
2.61415,-0.897333,0.781398,0.26986,1.00492,10.1159,1.069008197
2.51324,-0.850572,0.702797,0.283129,0.814256,7.75776,0.000366435
2.71328,-0.94086,0.619722,0.195221,0.833002,11.0293,0.8355626
2.88894,-0.886465,0.736308,0.0358313,0.869081,9.60374,0.139477632
2.86779,-0.817245,0.764624,0.0474533,0.945266,12.5705,-0.130791872
2.9515,-0.751638,0.7231,-0.0605051,0.907613,10.0172,0.62031275
2.85567,-0.641318,0.580106,-0.0871942,0.842074,8.58512,0.502959595
2.83314,-0.708017,0.618086,0.0543713,0.936261,9.05468,1.925416638
2.85446,-0.584868,0.785873,0.00446154,0.759477,8.61895,-0.510476037
2.95396,-0.670864,0.784812,0.201685,0.896326,10.095,0.223725697
2.93571,-0.636915,0.740755,0.333612,0.961062,10.5946,-0.973636212
2.91407,-0.667237,0.630608,0.235232,0.825831,9.82231,0.05925033
2.91614,-0.737544,0.696989,0.301617,1.02193,9.92445,0.272768789
2.83378,-0.574718,0.804022,0.223067,0.797589,8.31345,-1.033340224
2.87304,-0.606992,0.713561,0.195602,0.876144,8.80005,-0.153540656
2.89469,-0.613035,0.565367,0.0898902,0.853288,8.60602,-0.224786466
2.94161,-0.742189,0.659073,0.0382944,0.730686,9.52768,-0.527404138
